iter	Passed	Remaining
0	2	203
1	3	160
2	4	133
3	5	127
4	6	121
5	7	111
6	7	104
7	8	99
8	9	98
9	10	96
10	11	95
11	12	93
12	14	95
13	15	95
14	17	96
15	18	97
16	19	97
17	21	97
18	22	96
19	23	95
20	25	94
21	25	91
22	26	90
23	28	89
24	29	88
25	31	88
26	32	87
27	34	87
28	35	86
29	36	84
30	37	83
31	38	81
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	48	72
40	50	72
41	51	71
42	53	70
43	54	69
44	56	68
45	57	67
46	58	66
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	57
55	71	55
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	79	48
62	80	47
63	82	46
64	83	44
65	84	43
66	85	42
67	87	40
68	88	39
69	90	38
70	91	37
71	92	36
72	93	34
73	95	33
74	96	32
75	97	30
76	99	29
77	100	28
78	101	26
79	102	25
80	104	24
81	106	23
82	107	22
83	108	20
84	110	19
85	111	18
86	112	16
87	114	15
88	115	14
89	116	12
90	118	11
91	120	10
92	121	9
93	122	7
94	124	6
95	125	5
96	127	3
97	128	2
98	129	1
99	130	0
